SettlementDate,SettlementPeriod,StartTime,CreatedDateTime,SystemSellPrice,SystemBuyPrice,BsadDefaulted,PriceDerivationCode,ReserveScarcityPrice,NetImbalanceVolume,SellPriceAdjustment,BuyPriceAdjustment,ReplacementPrice,ReplacementPriceReferenceVolume,TotalAcceptedOfferVolume,TotalAcceptedBidVolume,TotalAdjustmentSellVolume,TotalAdjustmentBuyVolume,TotalSystemTaggedAcceptedOfferVolume,TotalSystemTaggedAcceptedBidVolume,TotalSystemTaggedAdjustmentSellVolume,TotalSystemTaggedAdjustmentBuyVolume
2025-11-02,24,2025-11-02T11:30:00Z,2025-11-03T12:14:41Z,21.100000000000001421,21.100000000000001421,False,N,0.000000000000000000,-262.171112393119017270,0.00,0.00,21.100000000000001421,1.000000000000000000,1900.416647781911251514,-2162.266234893118962646,0.000000000000000000,0.000000000000000000,1900.416647781911251514,-2161.266234893118962646,,
2025-11-02,25,2025-11-02T12:00:00Z,2025-11-03T12:46:05Z,33.210000000000000853,33.210000000000000853,False,N,0.000000000000000000,-188.969920538309025915,0.00,0.00,33.210000000000000853,1.000000000000000000,1924.481930840050154075,-2113.435078869182689232,0.000000000000000000,0.000000000000000000,1924.481930840050154075,-2112.435078869182689232,,
2025-11-02,26,2025-11-02T12:30:00Z,2025-11-03T13:14:39Z,13.259999999999999787,13.259999999999999787,False,N,0.000000000000000000,-42.939419601442601504,0.00,0.00,,,2120.405590279812713561,-2163.434465712553901540,0.000000000000000000,0.000000000000000000,2120.405590279812713561,-2162.434465712553901540,,
2025-11-02,27,2025-11-02T13:00:00Z,2025-11-03T13:45:01Z,52.409999999999996589,52.409999999999996589,False,N,0.000000000000000000,-35.544059398148149853,0.00,0.00,,,2304.311839490740567271,-2427.030165185185069276,0.000000000000000000,87.316000000000002501,2304.311839490740567271,-2426.030165185185069276,,87.316000000000002501
2025-11-02,28,2025-11-02T13:30:00Z,2025-11-03T14:14:42Z,73.590000000000003411,73.590000000000003411,False,N,0.000000000000000000,-22.326372573030777602,0.00,0.00,73.590000000000003411,0.000000000000000000,2362.797498611586433981,-2402.949554517475007742,0.000000000000000000,17.617000000000000881,2362.797498611586433981,-2401.949554517475007742,,17.617000000000000881
2025-11-02,29,2025-11-02T14:00:00Z,2025-11-03T14:44:34Z,47.423813493228230698,47.423813493228230698,False,N,0.000000000000000000,-162.669666922615618887,0.00,0.00,47.502970069444444334,1.000000000000000000,2239.682492745843319426,-2439.900115484791967901,0.000000000000000000,37.500000000000000000,2239.682492745843319426,-2438.900115484791967901,,37.500000000000000000
2025-11-02,30,2025-11-02T14:30:00Z,2025-11-03T15:14:37Z,-4.419999999999999929,-4.419999999999999929,False,N,0.000000000000000000,-219.109096329238440148,0.00,0.00,,,2241.053456139729860297,-2460.084260470987373992,0.000000000000000000,0.000000000000000000,2241.053456139729860297,-2459.084260470987373992,,
2025-11-02,31,2025-11-02T15:00:00Z,2025-11-03T15:44:31Z,94.000000000000000000,94.000000000000000000,False,P,0.000000000000000000,59.847208203577324070,0.00,0.00,,,2365.393652648021543428,-2442.033333333333303017,0.000000000000000000,136.497999999999990450,2364.393652648021543428,-2442.033333333333303017,,136.497999999999990450
2025-11-02,32,2025-11-02T15:30:00Z,2025-11-03T16:14:50Z,47.280000000000001137,47.280000000000001137,False,N,0.000000000000000000,-49.229915235485641745,0.00,0.00,,,2268.495290715151895711,-2573.204147073809508584,0.000000000000000000,255.633999999999986130,2268.495290715151895711,-2572.204147073809508584,,255.633999999999986130
2025-11-02,33,2025-11-02T16:00:00Z,2025-11-03T16:44:41Z,105.000000000000000000,105.000000000000000000,False,P,0.000000000000000000,137.747439393939401953,0.00,0.00,,,2540.148106060606096435,-2467.122499999999945430,0.000000000000000000,64.915999999999996817,2539.148106060606096435,-2467.122499999999945430,,64.915999999999996817
