settlementDate,ssp,sbp,price,NIV,NIV_lag1,NIV_roll7
2025-04-30,83.57759744180389,83.57759744180389,83.57759744180389,-748.0869751302133,4870.990823535857,-898.5751371227777
2025-05-01,69.82223483867159,69.82223483867159,69.82223483867159,-4370.812968046973,-748.0869751302133,-733.8061697352553
2025-05-02,73.66748079246496,73.66748079246496,73.66748079246496,-511.86191929216045,-4370.812968046973,-911.3413534532128
2025-05-03,53.77974318114105,53.77974318114105,53.77974318114105,-5096.569858871001,-511.86191929216045,-1799.510315212696
2025-05-04,17.35655343929066,17.35655343929066,17.35655343929066,-14804.365355553284,-5096.569858871001,-2332.923278245324
2025-05-05,70.92723505742482,70.92723505742482,70.92723505742482,228.61409940265185,-14804.365355553284,-2918.8703077078744
2025-05-06,78.20852344986253,78.20852344986253,78.20852344986253,-5221.146744670762,228.61409940265185,-4360.604246023106
2025-05-07,91.19481147294346,91.19481147294346,91.19481147294346,3601.9083441086577,-5221.146744670762,-3739.1763432746952
2025-05-08,101.99596977214931,101.99596977214931,101.99596977214931,4854.528803990765,3601.9083441086577,-2421.270375840733
2025-05-09,107.63089166013664,107.63089166013664,107.63089166013664,4997.203308202658,4854.528803990765,-1634.2610576271873
2025-05-10,73.15237345568323,73.15237345568323,73.15237345568323,1658.5939380758882,4997.203308202658,-669.2376580633457
2025-05-11,73.46465625171906,73.46465625171906,73.46465625171906,4624.411263160277,1658.5939380758882,2106.3018588957343
2025-05-12,92.12729590007773,92.12729590007773,92.12729590007773,5909.195212446302,4624.411263160277,2917.813446473399
2025-05-13,91.24713504747886,91.24713504747886,91.24713504747886,3980.2209188499064,5909.195212446302,4232.294541262066
2025-05-14,76.65087209845574,76.65087209845574,76.65087209845574,-2829.215308133203,3980.2209188499064,3313.5625909418
2025-05-15,94.84285090857794,94.84285090857794,94.84285090857794,12778.002984584353,-2829.215308133203,4445.487473883741
2025-05-16,62.943729574980104,62.943729574980104,62.943729574980104,-4333.96415254583,12778.002984584353,3112.463550919671
2025-05-17,59.01251708944226,59.01251708944226,59.01251708944226,-4233.270987606124,-4333.96415254583,2270.7685615365267
2025-05-18,74.49202536593982,74.49202536593982,74.49202536593982,134.30661561749744,-4233.270987606124,1629.325040458987
2025-05-19,73.28703258468803,73.28703258468803,73.28703258468803,-3651.777311961601,134.30661561749744,263.471822686429
2025-05-20,83.96494669386283,83.96494669386283,83.96494669386283,-1330.2197978353893,-3651.777311961601,-495.1625654114704
2025-05-21,80.0877297414979,80.0877297414979,80.0877297414979,-2265.0179030929967,-1330.2197978353893,-414.5629361200123
2025-05-22,93.38500528938555,93.38500528938555,93.38500528938555,5161.421979456917,-2265.0179030929967,-1502.645936852503
2025-05-23,68.60418386355218,68.60418386355218,68.60418386355218,-7000.3424563380995,5161.421979456917,-1883.5571231085414
2025-05-24,28.240903687677413,28.240903687677413,28.240903687677413,-10054.879273394034,-7000.3424563380995,-2715.215449649672
2025-05-25,9.266349189870537,9.266349189870537,9.266349189870537,-5538.929735090246,-10054.879273394034,-3525.6777854650636
